brand,name,option,price,rate,발색력,지속력,발림성,type,Closest_Personal_Color,x_coord,y_coord,Image URL,mean_r,mean_g,mean_b,mean_h,mean_s,mean_v,recommend_num
토니모리,토니모리 겟잇 립 라이너,컨실러,14000,4.904761905,2.857142857,2.761904762,2.952380952,립라이너,Spring Warm,0.09948268,-0.7174411,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/7/2139692283076445218.jpg,0.98139551,0.9228769,0.84406641,0.09948268,0.14127945,0.98139551,94
토니모리,토니모리 겟잇 립 라이너,컨투어,14000,4.818181818,3.0,3.0,3.0,립라이너,Spring Warm,0.06815344,-0.619814,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/7/8479622501201665001.jpg,0.90020682,0.79757477,0.73912409,0.06815344,0.190093,0.90020682,17
페리페라,페리페라 잉크 글래스팅 립글로스,컴피코지,12000,4.643939394,2.752525253,2.174242424,2.583333333,립글로스,Winter Cool,0.9820629,0.06731314,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/8/8211851252890051934.jpg,0.92806321,0.44935008,0.48458216,0.9820629,0.53365657,0.92806321,75
페리페라,페리페라 오버 블러 틴트,코랄랄라,12000,4.871731009,2.666251557,2.250311333,2.665006227,립틴트,Spring Warm,0.20345625,-0.15919176,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/2/6099492776446227506.jpg,0.88353713,0.53311796,0.51982709,0.20345625,0.42040412,0.88353713,644
롬앤,롬앤 글래스팅 멜팅 밤,코랄리아,13000,4.59908362,2.57674685,2.04467354,2.474799542,립밤,Spring Warm,0.04242768,-0.27851814,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/6/7818021786708170644.jpg,0.99661742,0.71585186,0.63701478,0.04242768,0.36074093,0.99661742,745
토니모리,토니모리 겟잇틴트 플럼퍼,코랄샤워,18000,4.538461538,2.871794872,2.717948718,2.769230769,립글로스,Spring Warm,0.0451548,-0.6570385,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/4/5857491326639049176.jpg,0.86164492,0.7507626,0.72873205,0.0451548,0.17148075,0.86164492,54
토니모리,토니모리 퍼펙트립스 쇼킹립 틴트,코랄쇼킹,15000,4.562929062,2.723112128,2.739130435,2.800915332,립틴트,Spring Warm,0.2081926,-0.07682368,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/5/7512288898220899162.png,0.80672937,0.48666253,0.46174063,0.2081926,0.46158816,0.80672937,492
롬앤,롬앤 블러 퍼지 틴트,코랄쥬빌레,13000,4.581277213,2.579825835,2.249637155,2.370827286,립틴트,Winter Cool,0.79544643,0.35607528,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2022/3/2665518912225156042.jpg,0.87673324,0.2918545,0.31000204,0.79544643,0.67803764,0.87673324,353
토니모리,토니모리 겟잇틴트 글레이즈밤,코랄피즈,18000,4.65993266,2.589225589,2.343434343,2.7003367,립밤,Spring Warm,0.04137459,-0.72046682,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2023/11/7394361796993163569.jpg,0.72688166,0.64403668,0.62593833,0.04137459,0.13976659,0.72688166,1451
맥,MAC 락드 키스 24아워 립스틱,코이,52000,4.4,2.7,2.4,2.5,립스틱,Summer Cool,0.7964127,-0.0686755,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2023/9/5992317210496203021.jpg,0.64165424,0.40575489,0.41413467,0.7964127,0.46566225,0.64165424,5
3CE,3CE 캐시미어 허그 립스틱,코지위스퍼,22000,4.5,2.678571429,2.357142857,2.535714286,립스틱,Summer Cool,0.97038881,-0.18495552,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/10/312933247606577454.png,0.8797402,0.545415,0.60555361,0.97038881,0.40752224,0.8797402,36
롬앤,롬앤 글래스팅 멜팅 밤,코코누드,13000,4.694656489,2.648854962,1.980916031,2.603053435,립밤,Spring Warm,0.0399843,-0.19382296,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/6/13021827409700394.jpg,0.93903306,0.65032773,0.56431562,0.0399843,0.40308852,0.93903306,165
맥,MAC 러스터글래스 립스틱,코크니,43000,4.842105263,2.763157895,2.052631579,2.815789474,립스틱,Winter Cool,0.98880797,0.64143366,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2021/8/1889246938433377704.jpg,0.64087872,0.11197937,0.14245208,0.98880797,0.82071683,0.64087872,56
